run,family,source,seed,ckpt,method,group,n,exact_identities,metric,estimate,ci_low,ci_high,finite_only_mean
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,histogram_matching,all,109,0,subject_kl_raw_harm,0.14464434348120572,0.11444661576552002,0.17509291096812277,0.14464434348120572
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,histogram_matching,all,109,0,raw_site_ba,0.9509803921568626,0.9019607843137254,1.0,
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,histogram_matching,all,109,0,harmonized_site_ba,0.47385844289869056,0.3998344289869058,0.5449913553938321,
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,histogram_matching,all,109,0,site_ba_drop,0.47712194925817203,0.3873833313229597,0.5679292315012129,
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,histogram_matching,source_non_nyu,90,0,psnr,22.974779790972875,22.362200784011872,23.702395443412364,22.974779790972875
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,histogram_matching,source_non_nyu,90,0,mse,0.0074330465030491965,0.006470046212725775,0.008380666476485468,0.0074330465030491965
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,histogram_matching,source_non_nyu,90,0,mae,0.054331646697286955,0.0500676177920637,0.05818511892941787,0.054331646697286955
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,histogram_matching,source_non_nyu,90,0,pixel_cosine_similarity,0.9887091207014305,0.9872613629984855,0.9900527566942555,0.9887091207014305
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,histogram_matching,source_non_nyu,90,0,cross_correlation,0.9822718334544293,0.9798171415636227,0.9845298605847927,0.9822718334544293
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,histogram_matching,source_non_nyu,90,0,subject_wasserstein_raw_harm,0.054331646697286955,0.0500676177920637,0.05818511892941787,0.054331646697286955
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,histogram_matching,source_non_nyu,90,0,subject_kl_raw_harm,0.15062006614978093,0.11952613980169939,0.18342200412591667,0.15062006614978093
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,histogram_matching,source_non_nyu,90,0,raw_site_ba,0.9479166666666666,0.8958333333333333,1.0,
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,histogram_matching,source_non_nyu,90,0,harmonized_site_ba,0.44426406926406925,0.3655380817099568,0.5207798971861471,
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,histogram_matching,source_non_nyu,90,0,site_ba_drop,0.5036525974025974,0.40985829274891766,0.6000990936147181,
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,histogram_matching,target_nyu,19,0,psnr,25.03480973757243,24.054378163930053,26.109190544254425,25.03480973757243
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,histogram_matching,target_nyu,19,0,mse,0.0035626752701761063,0.0028420971624905514,0.004301793231036945,0.0035626752701761063
