probe_a,probe_b,kendall_tau,p_value
frozen,seed1_best,0.8222222222222221,0.0003576940035273369
frozen,seed1_last,0.8222222222222221,0.0003576940035273369
frozen,seed2_best,0.8666666666666666,0.00011518959435626102
frozen,seed2_last,0.6,0.016666115520282188
frozen,seed3_best,0.7333333333333333,0.002212852733686067
frozen,seed3_last,0.7333333333333333,0.002212852733686067
frozen,seed42_best,0.7777777777777777,0.0009463183421516755
frozen,seed4_best,0.6,0.016666115520282188
frozen,seed4_last,0.6,0.016666115520282188
seed1_best,seed1_last,0.9999999999999999,5.511463844797178e-07
seed1_best,seed2_best,0.8666666666666666,0.00011518959435626102
seed1_best,seed2_last,0.6888888888888888,0.00468694885361552
seed1_best,seed3_best,0.6444444444444444,0.009148478835978836
seed1_best,seed3_last,0.6444444444444444,0.009148478835978836
seed1_best,seed42_best,0.8666666666666666,0.00011518959435626102
seed1_best,seed4_best,0.6888888888888888,0.00468694885361552
seed1_best,seed4_last,0.6888888888888888,0.00468694885361552
seed1_last,seed2_best,0.8666666666666666,0.00011518959435626102
seed1_last,seed2_last,0.6888888888888888,0.00468694885361552
seed1_last,seed3_best,0.6444444444444444,0.009148478835978836
seed1_last,seed3_last,0.6444444444444444,0.009148478835978836
seed1_last,seed42_best,0.8666666666666666,0.00011518959435626102
seed1_last,seed4_best,0.6888888888888888,0.00468694885361552
seed1_last,seed4_last,0.6888888888888888,0.00468694885361552
seed2_best,seed2_last,0.5555555555555555,0.02860945767195767
seed2_best,seed3_best,0.7777777777777777,0.0009463183421516755
seed2_best,seed3_last,0.7777777777777777,0.0009463183421516755
seed2_best,seed42_best,0.7333333333333333,0.002212852733686067
seed2_best,seed4_best,0.6444444444444444,0.009148478835978836
seed2_best,seed4_last,0.6444444444444444,0.009148478835978836
seed2_last,seed3_best,0.5111111111111111,0.04662257495590829
seed2_last,seed3_last,0.5111111111111111,0.04662257495590829
seed2_last,seed42_best,0.7333333333333333,0.002212852733686067
seed2_last,seed4_best,0.4666666666666666,0.07255015432098766
seed2_last,seed4_last,0.4666666666666666,0.07255015432098766
seed3_best,seed3_last,0.9999999999999999,5.511463844797178e-07
seed3_best,seed42_best,0.6,0.016666115520282188
seed3_best,seed4_best,0.5111111111111111,0.04662257495590829
seed3_best,seed4_last,0.5111111111111111,0.04662257495590829
seed3_last,seed42_best,0.6,0.016666115520282188
seed3_last,seed4_best,0.5111111111111111,0.04662257495590829
seed3_last,seed4_last,0.5111111111111111,0.04662257495590829
seed42_best,seed4_best,0.6444444444444444,0.009148478835978836
seed42_best,seed4_last,0.6444444444444444,0.009148478835978836
seed4_best,seed4_last,0.9999999999999999,5.511463844797178e-07
